monthly_usage_hours,login_frequency,last_login_days,support_tickets,payment_failures,subscription_plan,renewed
28.4,20.15,7.14,2,0,business,1
20.81,18.35,6.11,3,1,growth,1
22.66,20.52,2.74,2,0,business,1
13.34,14.98,7.29,2,1,growth,1
23.87,16.57,4.13,1,1,business,1
27.02,23.78,3.68,1,2,business,1
28.42,15.79,6.6,4,0,business,0
27.91,17.67,3.6,2,2,business,0
13.73,15.87,8.62,3,0,growth,1
21.03,16.37,5.2,3,1,growth,1
22.23,18.5,4.97,3,1,growth,1
23.83,19.08,7.22,3,1,business,0
11.51,15.1,4.79,1,1,growth,1
21.39,19.17,3.9,2,0,business,1
18.68,20.88,4.53,2,1,business,1
24.68,21.48,3.04,1,1,business,1
22.72,20.02,8.94,4,1,growth,0
19.76,13.04,7.71,3,0,growth,0
15.99,17.09,6.1,6,2,starter,0
24.7,13.37,9.09,4,1,growth,0
28.55,18.08,9.77,4,1,business,0
23.21,16.16,4.41,1,0,business,1
11.66,18.27,11.25,4,1,growth,1
10.99,16.42,6.09,2,1,growth,1
29.09,22.12,3.62,0,0,enterprise,1
26.23,27.76,2.14,1,0,enterprise,1
32.0,20.69,4.48,1,1,enterprise,1
20.46,25.6,11.86,5,1,growth,1
20.95,20.55,14.24,7,2,growth,0
15.71,16.75,7.72,5,2,growth,0
20.43,18.06,3.68,3,1,growth,1
24.5,18.9,7.17,2,2,business,0
20.87,16.68,7.31,2,0,growth,1
23.21,23.24,4.52,1,0,business,1
24.57,20.53,3.01,1,0,business,1
21.7,13.41,6.51,3,0,growth,0
21.44,23.51,3.07,1,1,business,1
23.38,19.67,7.09,6,2,growth,0
27.61,15.49,11.4,4,1,growth,0
21.3,17.93,10.35,4,1,growth,0
21.64,23.27,7.7,3,0,business,1
16.16,19.76,4.13,2,1,growth,1
21.29,19.21,5.71,2,0,business,1
25.73,25.81,6.85,2,1,business,1
28.82,16.76,11.98,4,2,business,0
16.36,24.72,9.56,3,0,growth,1
20.47,20.24,4.07,2,2,business,1
31.75,24.34,11.94,3,3,business,0
22.01,21.47,5.98,2,1,business,1
14.51,21.05,10.9,5,1,growth,1
15.43,21.81,12.3,5,2,growth,1
26.7,26.59,6.09,0,1,enterprise,1
17.84,17.32,6.58,3,0,growth,1
22.64,22.2,1.59,2,0,business,1
21.57,19.13,4.49,5,0,growth,1
31.05,21.91,6.11,2,2,business,1
22.42,19.63,5.3,2,0,business,1
21.4,16.78,7.69,2,0,growth,0
24.34,13.73,3.89,4,0,growth,1
24.79,10.94,5.42,3,0,growth,0
34.19,25.63,12.91,5,2,business,0
19.76,20.33,6.22,3,0,growth,1
23.57,19.27,3.6,3,1,business,1
18.94,23.19,7.11,3,0,business,1
23.24,16.21,8.55,4,1,growth,0
32.49,24.08,7.18,3,0,business,1
21.88,21.34,2.71,0,0,business,1
21.86,17.33,5.9,3,0,growth,1
15.31,19.34,4.13,2,1,growth,1
19.58,14.57,2.24,1,1,growth,1
17.25,20.15,5.27,2,1,growth,1
25.98,19.03,5.48,2,1,business,0
17.74,16.6,6.7,5,1,growth,1
17.59,16.98,13.16,6,2,starter,0
13.02,21.62,9.72,4,2,growth,1
30.39,24.55,3.56,0,1,enterprise,1
30.01,25.66,5.57,1,0,enterprise,1
29.4,18.12,9.92,3,1,business,0
21.24,15.73,20.59,8,1,starter,0
23.07,18.45,2.08,2,1,business,1
27.23,22.2,3.79,3,0,business,1
17.9,20.47,11.29,5,2,growth,0
18.88,14.85,5.14,2,1,growth,0
23.59,18.53,19.0,7,2,growth,0
21.08,25.87,5.14,0,0,business,1
25.62,21.66,3.24,1,0,business,1
16.74,18.92,6.91,3,1,growth,1
34.91,19.03,6.06,1,2,enterprise,0
28.07,22.21,3.62,2,2,business,1
14.47,17.3,9.03,3,0,growth,1
12.77,19.13,4.74,1,0,growth,1
26.24,14.56,6.49,2,0,business,0
16.65,18.36,7.41,2,1,growth,1
16.16,16.19,7.83,3,0,growth,1
17.21,20.26,7.44,2,0,growth,1
14.08,18.15,5.71,2,2,growth,1
20.27,22.14,6.11,2,0,business,1
11.11,20.52,6.68,2,1,growth,1
12.82,22.16,4.98,1,1,growth,1
19.26,19.1,2.91,1,1,business,1
24.22,18.12,4.57,3,0,business,1
13.67,12.16,5.42,3,1,starter,0
19.88,16.8,6.35,3,0,growth,1
20.3,18.46,3.25,4,1,growth,1
19.25,14.06,6.36,3,1,growth,0
27.68,18.86,14.31,6,3,growth,0
31.18,21.89,5.04,1,0,enterprise,1
19.25,15.86,5.27,2,1,growth,1
17.17,23.3,6.79,3,1,growth,1
18.79,21.21,4.4,1,1,business,1
25.23,17.54,6.02,4,0,growth,0
22.67,16.15,0.0,2,1,business,1
22.31,17.43,3.14,2,1,business,1
22.49,26.56,11.98,4,1,business,1
20.07,19.06,6.56,3,1,growth,1
26.43,12.45,8.09,3,2,growth,0
23.99,17.42,4.66,2,1,business,0
20.47,17.42,3.08,3,1,growth,1
25.19,19.24,5.59,2,2,business,1
19.14,17.36,10.73,6,2,growth,0
21.53,15.84,12.53,4,2,growth,0
25.97,21.25,9.0,2,1,business,1
21.53,24.44,6.98,4,1,business,1
28.22,24.8,3.26,1,0,enterprise,1
21.79,22.27,3.01,2,0,business,1
26.7,18.61,10.92,4,2,business,0
17.84,18.32,9.44,4,2,growth,1
21.92,13.46,8.07,5,2,growth,0
26.93,10.69,2.56,2,1,growth,1
22.15,16.05,12.8,4,2,growth,0
24.96,22.01,7.48,2,1,business,1
22.32,17.87,5.47,1,1,business,1
25.37,20.11,8.6,2,1,business,0
23.98,23.54,2.92,2,1,business,1
28.1,22.48,5.55,2,1,business,1
22.63,10.89,2.4,2,0,growth,1
22.14,17.57,4.8,3,1,growth,1
20.09,16.2,10.5,4,2,growth,0
19.69,16.1,6.98,3,1,growth,0
15.38,15.08,3.17,1,1,growth,1
24.32,21.52,16.58,6,1,growth,0
30.02,21.2,3.88,1,2,business,1
17.4,18.92,2.75,1,1,growth,1
20.47,20.56,12.36,5,2,growth,0
29.91,19.88,14.56,6,2,business,0
16.21,17.29,3.67,1,1,growth,1
19.44,21.58,10.52,5,3,growth,0
24.99,20.05,5.96,1,0,business,1
23.97,30.46,5.31,1,2,enterprise,1
22.45,20.35,6.16,3,0,business,1
26.72,18.32,7.42,3,0,business,1
35.82,14.98,4.17,4,2,business,0
15.29,25.11,5.34,1,1,business,1
34.91,20.3,3.32,3,0,business,1
27.15,21.15,3.92,3,1,business,1
25.2,19.95,8.63,3,0,business,1
16.25,22.73,6.22,1,1,business,1
20.54,12.69,3.4,1,0,growth,1
19.46,20.58,3.77,2,0,business,1
15.93,18.07,1.96,1,1,growth,1
21.49,19.41,7.83,3,1,growth,0
21.04,17.34,3.67,2,2,growth,1
15.01,18.52,3.98,2,0,growth,1
16.8,18.88,7.34,2,1,growth,1
23.4,18.0,9.05,3,1,business,0
27.04,19.0,3.45,0,0,business,1
22.01,20.58,6.53,1,1,business,1
24.22,16.64,8.64,4,0,growth,0
16.92,16.65,5.89,2,1,growth,1
23.67,15.9,6.56,2,1,business,1
19.42,14.76,9.55,5,2,growth,0
27.07,17.17,1.86,1,0,business,1
19.91,19.16,7.47,4,0,growth,1
21.15,17.12,4.98,2,1,growth,1
14.32,22.47,3.32,1,1,business,1
26.08,17.66,2.67,1,1,business,1
19.73,20.06,6.52,3,1,growth,1
20.25,19.65,6.21,3,1,growth,1
24.29,19.09,6.1,3,1,business,0
16.99,12.79,4.19,2,1,growth,1
30.84,23.28,7.62,2,2,business,0
13.53,22.66,5.84,3,1,growth,1
17.07,17.61,8.16,3,1,growth,1
18.38,13.49,4.15,4,1,growth,1
31.15,18.64,5.84,2,2,business,0
20.99,16.15,7.0,3,0,growth,1
24.97,15.1,3.0,4,1,growth,0
26.6,19.33,3.89,2,1,business,1
31.09,21.37,7.72,3,0,business,1
18.39,22.51,6.24,3,0,growth,1
16.23,20.86,7.17,4,1,growth,1
20.23,12.87,7.86,3,0,growth,0
25.14,20.3,9.77,3,2,business,0
17.0,14.71,0.0,2,1,growth,1
12.56,18.19,15.43,7,3,starter,0
21.23,13.06,5.66,4,1,growth,0
25.71,19.21,12.35,6,1,growth,0
30.51,19.63,3.54,1,1,business,1
24.02,23.12,1.94,1,0,business,1
16.49,21.69,10.04,5,1,growth,1
20.28,16.52,11.93,7,1,starter,0
23.14,19.97,11.01,6,1,growth,0
25.29,21.05,3.93,1,0,business,1
22.41,20.43,2.8,1,1,business,1
26.58,16.95,4.48,1,0,business,1
19.98,17.59,2.46,2,0,growth,1
21.29,23.53,5.41,3,1,business,1
26.6,17.2,3.55,2,0,business,1
18.46,17.89,6.4,4,0,growth,1
15.46,16.76,6.9,3,0,growth,1
18.05,18.68,5.65,1,0,business,1
21.18,27.39,3.66,1,1,business,1
20.86,16.81,4.75,2,1,growth,1
15.63,16.0,7.33,3,2,growth,0
18.66,17.91,3.67,1,0,business,1
16.07,17.52,4.66,2,1,growth,1
32.88,20.86,4.9,1,0,enterprise,1
28.87,23.28,4.01,0,2,enterprise,1
20.2,19.81,4.34,2,1,business,1
22.32,19.32,5.65,3,1,business,1
25.58,27.3,4.18,2,0,business,1
25.43,22.3,6.99,1,2,business,1
23.16,19.09,7.54,3,1,business,0
20.2,17.72,2.48,2,0,growth,1
16.67,22.89,6.38,1,0,business,1
25.34,21.3,4.71,2,0,business,1
21.52,17.14,4.42,2,0,growth,1
21.43,10.78,4.27,2,0,growth,0
30.59,23.98,6.59,1,0,enterprise,1
22.69,16.79,9.12,4,3,growth,0
18.8,17.19,10.65,6,2,growth,0
23.63,20.32,9.64,4,2,growth,0
20.35,18.07,7.6,4,2,growth,0
18.2,13.84,9.21,5,1,growth,0
23.43,21.42,4.68,3,0,business,1
24.42,19.97,3.82,0,1,business,1
21.23,17.66,9.35,4,2,growth,0
18.02,13.34,6.25,3,1,growth,0
17.85,24.99,6.86,3,1,business,1
22.44,22.03,4.76,1,0,business,1
22.16,17.98,4.99,3,0,growth,1
21.47,19.86,4.65,2,1,business,1
37.49,23.3,5.46,1,1,enterprise,1
21.48,18.27,5.15,2,0,business,1
23.89,18.38,11.75,4,2,growth,0
29.98,18.47,5.95,1,0,business,1
20.47,17.67,8.73,4,1,growth,0
18.68,15.58,14.19,5,2,growth,0
21.39,16.99,2.98,1,1,business,1
24.07,20.7,12.76,5,2,growth,0
23.02,22.61,8.03,3,1,business,1
22.33,18.26,10.33,4,1,growth,0
22.29,23.97,10.95,3,2,business,1
15.83,14.45,10.37,4,2,growth,0
18.13,13.29,5.26,2,0,growth,1
21.42,21.04,9.84,4,0,growth,1
17.94,19.28,0.9,1,1,business,1
17.13,13.8,3.89,1,1,growth,1
21.12,16.07,7.45,2,2,growth,0
23.96,17.86,4.62,2,1,business,1
19.24,24.85,5.81,3,2,business,1
26.39,15.88,11.78,4,2,growth,0
21.47,21.99,3.98,4,2,growth,1
18.43,17.78,9.25,5,3,growth,0
22.89,20.48,8.16,4,2,growth,0
19.5,18.34,5.79,3,1,growth,0
15.56,26.01,16.34,6,2,growth,1
24.9,20.22,4.81,2,2,business,1
25.37,20.04,6.51,2,0,business,1
20.78,20.55,5.12,3,0,growth,1
20.03,19.11,7.91,2,0,business,1
26.19,16.63,1.01,1,1,business,1
13.56,15.06,8.65,4,1,starter,1
12.37,13.36,9.95,2,2,growth,0
19.93,24.16,6.61,2,1,business,1
17.74,13.75,14.19,6,2,starter,0
33.23,22.27,8.43,2,2,enterprise,0
33.9,23.8,4.31,2,1,enterprise,1
26.95,17.74,5.84,2,1,business,1
21.67,16.07,6.96,3,1,growth,0
20.31,19.18,7.79,4,1,growth,1
28.81,19.22,5.82,1,0,business,1
22.6,18.19,5.85,3,1,growth,1
31.69,20.81,1.7,1,1,business,1
18.57,11.82,7.19,3,1,growth,0
17.91,18.6,5.75,2,0,growth,1
28.99,22.18,1.67,0,1,enterprise,1
17.72,19.8,11.85,4,1,growth,0
22.07,18.84,4.76,1,1,business,1
17.35,19.95,6.7,2,0,growth,1
25.03,18.39,4.14,2,0,business,1
17.64,20.53,12.55,6,2,growth,0
15.6,20.34,8.04,2,1,growth,1
20.67,20.9,5.75,2,0,business,1
21.24,18.93,6.05,4,1,growth,1
13.47,23.03,3.44,1,0,growth,1
16.63,16.67,2.69,0,2,growth,1
23.38,19.72,10.38,5,1,growth,0
15.12,15.97,3.49,2,1,growth,1
22.69,23.85,9.4,3,2,business,1
34.58,19.32,1.71,1,0,enterprise,1
20.78,16.48,4.52,3,1,growth,1
15.9,19.36,4.88,4,0,growth,1
19.44,17.79,3.21,2,2,growth,1
20.65,18.76,5.99,2,1,business,1
17.77,16.79,6.34,4,0,growth,1
24.06,22.83,7.83,1,1,business,1
24.83,19.04,1.59,0,0,business,1
23.41,15.36,12.93,6,1,growth,0
19.34,17.6,8.99,5,2,growth,0
24.06,14.86,8.87,3,3,growth,0
21.83,17.29,5.09,1,1,business,1
32.33,20.27,3.82,1,0,enterprise,1
21.41,18.74,12.07,4,2,growth,0
21.43,20.5,8.76,2,0,business,1
22.9,16.67,8.44,4,0,growth,1
21.86,18.77,9.7,5,1,growth,1
20.98,23.7,3.42,1,1,business,1
32.94,27.4,7.3,3,0,enterprise,1
16.3,18.59,7.3,2,0,growth,1
26.58,25.02,3.06,1,1,business,1
11.79,18.81,3.22,1,0,growth,1
19.81,12.31,5.48,5,1,growth,0
31.04,14.46,11.66,6,1,growth,0
19.9,21.29,14.75,6,1,growth,0
23.12,16.4,3.63,2,2,business,1
20.22,18.52,6.1,2,1,growth,0
26.94,13.2,12.97,5,2,growth,0
30.9,23.17,7.14,2,0,business,1
29.77,20.69,3.73,1,1,business,1
30.94,22.59,8.28,3,0,business,0
17.74,15.78,2.74,1,1,growth,1
30.78,24.62,4.24,1,0,enterprise,1
27.3,19.01,2.17,3,0,business,1
23.36,15.87,4.19,2,1,business,0
24.06,23.79,5.33,0,0,business,1
22.24,18.66,7.59,2,2,business,0
18.86,17.44,9.56,5,2,growth,0
28.86,21.84,1.76,2,1,business,1
23.67,11.73,5.86,3,0,growth,0
22.24,14.94,6.28,3,0,growth,0
22.41,24.71,4.85,3,1,business,1
22.49,18.22,4.83,3,1,growth,1
15.74,13.71,6.92,4,0,growth,1
21.55,23.68,4.0,2,1,business,1
16.83,19.79,10.99,4,1,growth,1
23.61,20.28,12.4,5,2,growth,0
30.45,23.84,8.5,4,1,business,1
18.09,18.35,2.82,2,1,growth,1
17.55,15.91,7.8,4,2,growth,0
17.63,20.87,6.46,4,1,growth,1
23.95,16.55,11.62,5,1,growth,0
19.02,21.26,3.77,2,0,business,1
16.82,17.25,5.99,2,1,growth,1
22.68,17.39,6.06,4,1,growth,0
27.07,22.34,3.31,0,1,business,1
29.61,21.7,5.66,1,1,business,1
18.99,17.58,7.43,3,0,growth,1
26.25,15.9,4.21,2,1,business,0
24.67,16.25,3.58,1,1,business,1
11.74,15.52,4.2,2,0,growth,1
14.73,22.56,8.12,4,0,growth,1
20.48,12.06,9.83,6,2,starter,0
19.23,20.54,4.76,2,1,business,1
15.99,15.74,10.23,5,2,starter,0
31.96,23.55,7.56,4,1,business,0
16.02,17.42,6.58,4,1,growth,1
26.14,21.49,13.35,5,1,business,0
20.94,18.81,15.47,6,2,growth,0
27.32,20.16,6.95,5,1,business,0
33.65,19.85,2.56,1,0,enterprise,1
20.25,22.37,7.75,4,1,growth,1
19.72,17.47,17.58,6,1,growth,0
19.86,15.97,5.57,3,0,growth,1
20.39,19.55,0.6,3,1,growth,1
25.57,18.74,8.76,3,0,business,1
14.28,18.69,5.8,3,1,growth,1
18.75,17.49,7.28,4,1,growth,1
28.79,21.14,5.7,2,1,business,1
18.01,16.12,5.72,2,1,growth,1
22.23,14.86,9.15,4,0,growth,1
18.09,21.01,5.76,3,1,growth,1
27.92,14.06,6.44,5,1,growth,0
22.37,20.87,6.34,3,1,business,1
17.75,23.85,9.12,4,1,growth,1
18.19,17.61,9.33,5,1,growth,0
17.46,20.1,13.04,5,2,growth,0
24.81,17.12,4.3,2,0,business,1
18.08,18.82,5.62,2,1,growth,1
32.63,22.6,6.05,2,0,business,1
15.81,14.28,4.63,2,0,growth,1
22.49,20.77,5.24,2,0,business,1
23.38,21.59,2.55,1,1,business,1
23.67,20.02,4.59,1,0,business,1
35.48,18.76,4.68,2,0,business,1
17.8,16.26,12.66,5,2,growth,0
15.6,9.91,16.31,8,1,starter,0
21.0,16.73,3.13,1,1,business,1
22.41,18.15,8.36,3,1,growth,0
27.18,17.23,5.47,2,0,business,0
25.06,25.79,5.04,1,2,business,1
25.91,17.39,5.44,2,1,business,1
18.3,14.15,6.73,3,1,growth,0
18.96,13.9,0.83,2,1,growth,1
22.25,19.22,2.58,2,1,business,1
24.63,20.81,12.51,5,2,growth,0
13.13,16.4,9.18,3,1,growth,1
28.69,13.44,13.24,6,1,growth,0
18.06,27.42,6.17,2,0,business,1
18.1,17.98,6.49,3,0,growth,1
23.24,18.88,5.59,3,1,business,1
18.34,14.97,4.68,2,1,growth,0
22.78,21.72,5.49,2,1,business,1
27.31,22.5,3.09,2,1,business,1
25.18,21.28,1.49,1,1,business,1
21.37,22.99,4.51,3,2,business,1
20.01,17.61,3.77,3,0,growth,1
22.49,15.27,3.05,1,0,business,1
21.73,18.46,8.81,4,0,growth,0
27.6,20.71,9.41,3,1,business,1
28.51,24.48,5.03,2,1,business,1
21.93,17.49,11.19,5,1,growth,0
12.67,20.03,12.87,5,1,growth,1
25.71,17.08,4.01,2,0,business,1
19.77,21.29,4.71,3,2,growth,1
19.71,15.9,10.16,5,2,growth,0
18.12,16.47,6.95,4,1,growth,1
20.65,17.27,9.08,4,2,growth,0
21.97,18.5,12.51,4,1,growth,0
22.68,18.8,3.55,2,1,business,1
21.11,21.27,5.75,5,1,growth,0
14.17,17.77,5.95,3,0,growth,1
24.76,19.38,4.66,3,0,business,1
23.29,18.19,4.13,2,0,business,1
17.86,15.08,9.29,3,0,growth,1
14.1,19.03,10.04,4,2,growth,1
16.83,18.27,9.52,3,1,growth,0
19.33,17.58,7.03,4,0,growth,1
31.85,23.08,5.67,2,0,business,1
24.65,16.23,7.11,3,1,growth,0
24.79,15.34,10.93,4,1,growth,0
25.61,21.98,7.69,3,1,business,1
22.77,13.38,7.22,3,0,growth,0
13.29,7.05,8.66,4,0,starter,0
21.76,28.26,1.25,2,1,business,1
19.92,21.66,7.75,4,1,growth,1
16.18,14.92,6.12,3,1,growth,0
24.91,27.18,5.25,2,0,business,1
24.87,18.11,7.81,2,1,business,0
21.68,16.04,8.56,4,1,growth,0
26.79,22.3,11.33,3,2,business,0
31.01,26.81,6.8,2,1,enterprise,1
30.09,19.62,5.96,2,0,business,1
19.1,18.29,4.25,1,1,business,1
24.18,17.01,7.74,4,2,growth,0
22.4,16.61,1.13,2,0,business,1
18.6,16.38,5.65,4,1,growth,1
17.71,17.24,9.98,7,1,starter,0
20.3,14.93,5.81,3,1,growth,1
28.21,16.1,5.04,2,1,business,0
21.79,20.26,2.3,2,1,business,1
26.95,21.41,3.28,2,0,business,1
3.95,9.06,16.53,5,1,starter,1
17.42,11.63,4.11,3,1,growth,0
24.6,21.46,2.39,2,0,business,1
19.45,17.99,4.17,2,1,growth,1
23.05,23.84,6.0,2,0,business,1
28.16,21.86,4.21,2,2,business,1
15.76,15.91,4.92,3,1,growth,1
19.49,21.69,2.27,0,2,business,1
18.53,15.0,3.77,1,1,growth,1
17.69,17.91,7.75,4,1,growth,0
34.54,28.18,9.08,4,2,enterprise,0
21.45,15.38,8.21,5,2,growth,0
22.14,12.75,2.03,1,1,growth,1
22.23,17.62,4.58,3,0,growth,0
11.79,21.5,8.19,4,1,growth,1
25.41,12.34,5.85,3,1,growth,0
13.52,15.39,9.05,5,1,starter,0
21.94,26.35,7.82,3,2,business,1
26.72,18.32,6.23,2,1,business,0
19.91,17.41,6.14,3,2,growth,0
12.9,12.85,11.21,5,3,starter,0
24.43,21.01,3.53,3,0,business,1
22.76,18.42,14.43,5,2,growth,0
22.69,20.31,5.03,3,0,business,1
22.4,18.77,4.41,2,1,business,1
20.01,19.62,6.89,2,0,business,1
15.2,14.35,5.28,3,0,growth,1
19.47,19.43,10.84,6,1,growth,0
28.73,25.25,4.69,1,0,enterprise,1
32.02,25.92,2.84,1,1,enterprise,1
28.73,24.78,12.99,6,1,business,0
28.12,20.77,2.49,2,1,business,1
23.61,19.28,10.43,4,1,growth,0
14.03,19.98,5.37,2,1,growth,1
21.26,16.79,6.01,3,2,growth,1
24.3,18.3,6.35,2,0,business,1
13.81,19.46,13.08,5,1,growth,1
23.47,21.45,3.11,1,0,business,1
24.07,10.56,4.31,3,1,growth,0
12.68,18.86,8.93,3,0,growth,1
27.12,23.97,10.74,5,1,business,0
27.51,21.34,2.44,1,0,business,1
25.82,19.51,5.26,2,1,business,1
18.25,19.21,5.36,2,1,growth,1
25.75,24.8,11.79,5,2,business,0
10.39,13.48,5.58,3,0,starter,1
21.63,22.43,4.26,1,1,business,1
19.75,18.06,14.06,6,2,growth,0
16.15,13.3,11.55,5,2,starter,0
25.16,17.97,4.25,2,0,business,1
18.37,17.87,2.74,1,1,growth,1
25.03,20.22,11.36,3,2,business,0
13.92,17.57,14.88,6,1,starter,0
19.94,25.18,7.38,2,0,business,1
25.11,17.63,15.32,6,3,growth,0
21.91,19.19,4.76,2,2,business,1
20.02,18.08,4.76,2,1,growth,1
19.98,17.32,4.88,3,0,growth,0
25.43,16.31,5.63,1,0,business,0
26.99,21.44,3.4,1,1,business,1
21.94,20.85,4.79,2,1,business,1
21.07,14.53,3.58,2,0,growth,1
17.49,17.63,8.24,3,2,growth,1
28.59,22.93,6.13,3,1,business,1
13.86,25.8,8.71,3,0,growth,1
19.96,16.26,8.17,6,2,growth,0
28.24,24.19,4.44,1,1,business,1
29.46,13.13,5.6,2,0,business,1
18.03,24.07,3.72,3,1,business,1
19.59,19.46,3.86,2,2,business,1
19.46,22.14,7.01,3,0,growth,1
27.73,25.95,8.14,3,0,business,1
21.32,19.7,5.72,3,0,growth,1
21.92,21.26,6.9,4,2,growth,0
31.12,24.12,3.53,2,0,business,1
32.71,20.11,7.45,2,0,business,1
22.77,18.83,6.55,3,1,business,0
25.25,15.85,4.67,3,1,business,1
28.85,24.84,3.82,2,1,business,1
20.42,20.81,9.32,3,1,growth,0
20.88,22.42,3.38,1,0,business,1
18.86,20.16,5.74,3,0,growth,1
32.01,21.34,7.22,2,0,business,1
25.08,15.3,10.21,4,1,growth,0
28.55,21.46,4.77,2,0,business,1
19.11,16.52,7.07,3,0,growth,1
21.37,17.81,3.93,2,0,business,1
24.4,19.92,14.62,6,1,growth,0
23.17,18.88,12.93,6,2,growth,0
17.83,20.78,1.8,1,1,business,1
14.22,19.75,7.42,4,1,growth,1
27.64,18.48,7.85,3,1,business,0
27.75,24.26,6.32,3,1,business,1
20.7,19.04,4.43,3,0,growth,1
17.0,21.04,6.2,3,1,growth,1
20.37,18.06,5.05,2,0,growth,1
24.07,16.97,0.0,2,1,business,1
17.64,21.68,8.63,4,1,growth,1
14.89,16.49,3.9,2,0,growth,1
16.67,22.69,7.76,4,0,growth,1
19.95,15.42,6.47,3,0,growth,0
13.37,17.5,3.26,1,1,growth,1
26.46,14.7,3.6,1,1,business,1
24.31,19.68,4.39,2,0,business,1
27.28,18.89,4.75,4,1,business,0
26.25,19.29,3.33,4,0,business,1
18.58,14.96,1.23,1,1,growth,1
12.17,22.16,12.09,4,3,growth,1
29.04,16.43,3.32,0,0,business,1
24.07,21.09,5.58,3,1,business,1
25.03,20.66,7.22,4,0,business,1
27.87,19.31,5.53,1,0,business,1
25.52,26.69,7.13,2,1,business,1
19.5,20.29,9.32,4,1,growth,1
22.52,16.85,3.77,3,1,growth,1
19.61,18.47,9.46,5,2,growth,0
18.03,17.52,5.48,3,1,growth,1
18.67,16.4,2.53,2,0,growth,1
37.93,19.75,2.1,1,2,enterprise,1
16.09,18.9,9.74,3,1,growth,1
24.38,16.02,5.23,3,0,growth,1
20.41,19.73,4.93,2,1,business,1
25.25,18.96,4.06,3,0,business,1
24.68,24.7,6.6,3,0,business,1
30.26,24.89,2.13,1,2,enterprise,1
27.61,20.96,7.72,3,2,business,0
19.64,18.8,5.52,3,1,growth,0
18.35,13.86,10.91,5,2,growth,0
25.04,16.38,2.93,3,2,business,1
22.21,18.84,5.05,1,2,business,1
33.96,20.89,20.03,8,1,business,0
22.29,19.32,7.49,3,0,business,1
27.45,14.96,5.31,3,1,business,0
23.42,18.99,2.88,2,1,business,1
20.85,12.5,8.48,4,1,growth,0
31.2,21.33,8.73,3,1,business,1
24.31,13.13,4.42,3,0,growth,0
25.0,20.0,9.01,3,0,business,0
23.95,18.26,6.68,1,0,business,1
21.08,17.92,6.45,3,1,growth,1
22.51,18.42,5.25,3,0,growth,1
18.98,16.11,7.77,3,1,growth,0
21.16,16.57,6.69,4,1,growth,1
25.02,16.45,7.07,3,0,business,0
28.52,26.01,8.71,3,0,business,1
24.57,12.66,9.56,4,1,growth,0
20.38,18.01,5.28,2,0,growth,1
16.47,15.6,7.61,4,1,growth,1
14.25,19.63,7.2,3,1,growth,1
21.85,19.36,2.24,2,0,business,1
20.96,19.36,2.54,2,0,business,1
18.88,17.72,11.16,4,2,growth,0
26.09,22.14,5.56,3,1,business,1
9.21,18.56,13.88,6,2,starter,1
18.6,20.17,4.53,1,1,business,1
26.59,18.48,4.81,4,2,business,0
23.35,22.31,8.89,4,1,business,0
15.59,16.81,3.93,1,0,growth,1
8.48,17.33,17.77,7,2,starter,1
19.07,20.6,0.0,2,1,business,1
23.16,22.23,0.61,3,1,business,1
18.09,13.49,5.15,3,1,growth,0
20.82,19.57,6.19,3,0,growth,1
25.2,16.04,5.24,2,1,business,0
17.81,19.03,5.84,2,1,growth,1
13.93,17.84,7.53,3,1,growth,1
24.77,18.18,3.05,1,0,business,1
18.5,20.05,8.63,3,1,growth,1
24.96,18.9,2.44,1,1,business,1
23.56,22.69,6.7,3,2,business,1
23.99,20.94,6.87,2,1,business,1
22.68,21.21,2.78,1,0,business,1
28.25,16.49,7.88,3,1,business,0
21.29,17.39,8.62,3,2,growth,0
21.36,14.87,9.11,4,0,growth,1
22.12,19.15,3.61,1,0,business,1
24.38,16.93,7.85,3,1,business,0
15.92,10.07,3.67,1,1,growth,1
29.93,22.5,3.8,1,0,business,1
16.4,13.05,6.31,2,0,growth,1
15.57,23.08,1.87,2,1,growth,1
31.67,20.14,7.35,2,0,business,1
18.35,26.21,3.64,2,1,business,1
23.64,21.16,5.78,1,1,business,1
28.49,19.97,4.41,1,1,business,1
21.69,17.08,6.83,3,2,growth,1
25.1,21.74,6.53,3,0,business,1
19.69,16.54,3.98,2,0,growth,1
17.77,17.26,4.79,2,1,growth,1
31.23,18.68,3.6,2,1,business,1
23.96,16.04,4.94,1,0,business,1
16.25,15.04,11.6,4,2,growth,0
20.43,25.67,5.62,2,0,business,1
18.71,22.1,7.04,4,0,growth,1
23.56,21.5,7.45,3,2,business,0
35.34,26.09,3.31,0,1,enterprise,1
27.5,27.13,5.2,1,0,enterprise,1
17.18,14.92,5.8,3,0,growth,1
18.51,23.61,3.72,3,2,business,1
26.72,19.7,7.51,3,1,business,0
13.38,13.74,7.66,3,1,growth,0
21.08,19.52,5.95,3,1,growth,1
19.04,19.07,3.7,4,1,growth,1
20.86,18.91,5.76,3,1,growth,1
30.45,23.52,9.65,3,1,business,0
16.49,22.13,9.59,5,1,growth,1
28.35,20.59,4.15,3,1,business,1
20.84,18.91,8.83,3,1,growth,0
29.91,21.99,0.43,1,0,business,1
19.61,17.63,7.73,4,1,growth,0
21.21,16.13,9.1,2,0,growth,0
22.79,19.02,2.93,2,1,business,1
24.76,25.59,2.9,0,1,business,1
